source,target,type
486,762,indicative
496,486,indicative
712,486,indicative
493,755,indicative
493,668,indicative
493,576,indicative
494,700,indicative
494,831,indicative
494,671,indicative
495,509,indicative
495,511,indicative
495,883,indicative
496,780,indicative
496,858,indicative
496,671,indicative
497,888,indicative
497,819,indicative
497,670,indicative
498,666,indicative
498,858,indicative
498,553,indicative
499,553,indicative
499,800,indicative
499,722,indicative
500,712,indicative
500,721,indicative
500,940,indicative
501,556,indicative
501,750,indicative
501,961,indicative
502,598,indicative
502,582,indicative
502,608,indicative
503,702,indicative
503,782,indicative
503,744,indicative
504,585,indicative
504,777,indicative
504,756,indicative
505,721,indicative
505,744,indicative
505,688,indicative
506,778,indicative
506,575,indicative
506,948,indicative
507,605,indicative
507,569,indicative
507,598,indicative
508,811,indicative
508,593,indicative
508,578,indicative
509,552,indicative
509,776,indicative
509,516,indicative
510,775,indicative
510,575,indicative
510,573,indicative
511,954,indicative
511,748,indicative
511,762,indicative
512,855,indicative
512,728,indicative
512,858,indicative
513,884,indicative
855,513,indicative
513,785,indicative
514,603,indicative
514,552,indicative
514,948,indicative
515,555,indicative
515,697,indicative
515,795,indicative
516,948,indicative
559,516,indicative
516,731,indicative
517,735,indicative
517,961,indicative
517,814,indicative
518,952,indicative
518,660,indicative
518,731,indicative
519,755,indicative
519,954,indicative
519,953,indicative
520,951,indicative
690,520,indicative
520,883,indicative
521,765,indicative
521,694,indicative
521,814,indicative
522,576,indicative
687,522,indicative
522,696,indicative
523,668,indicative
523,557,indicative
523,595,indicative
524,577,indicative
524,594,indicative
524,571,indicative
525,765,indicative
525,573,indicative
525,605,indicative
526,771,indicative
526,780,indicative
526,784,indicative
527,650,indicative
687,527,indicative
527,777,indicative
528,800,indicative
528,576,indicative
528,793,indicative
529,775,indicative
529,721,indicative
529,961,indicative
530,553,indicative
627,530,indicative
530,721,indicative
531,561,indicative
531,953,indicative
531,581,indicative
532,578,indicative
532,564,indicative
532,596,indicative
533,556,indicative
533,811,indicative
533,775,indicative
534,884,indicative
534,694,indicative
534,663,indicative
535,821,indicative
535,693,indicative
535,562,indicative
536,595,indicative
536,757,indicative
536,603,indicative
537,742,indicative
537,575,indicative
537,780,indicative
538,570,indicative
538,771,indicative
538,550,indicative
539,768,indicative
539,550,indicative
539,712,indicative
540,660,indicative
540,778,indicative
540,756,indicative
541,591,indicative
542,558,indicative
542,567,indicative
542,604,indicative
548,655,indicative
548,742,indicative
548,697,indicative
549,748,indicative
549,759,indicative
939,549,indicative
687,550,indicative
550,743,indicative
550,612,indicative
551,725,indicative
551,720,indicative
693,551,indicative
793,552,indicative
696,552,indicative
688,552,indicative
553,668,indicative
553,884,indicative
553,768,indicative
554,584,indicative
555,605,indicative
555,593,indicative
555,597,indicative
556,600,indicative
556,568,indicative
556,595,indicative
557,603,indicative
557,821,indicative
557,742,indicative
558,725,indicative
558,767,indicative
558,799,indicative
559,754,indicative
559,581,indicative
559,596,indicative
696,560,indicative
560,721,indicative
687,560,indicative
580,561,indicative
793,562,indicative
792,562,indicative
562,762,indicative
563,778,indicative
574,563,indicative
563,755,indicative
564,886,indicative
564,820,indicative
858,564,indicative
565,952,indicative
565,775,indicative
565,766,indicative
566,881,indicative
687,566,indicative
566,819,indicative
793,567,indicative
567,755,indicative
567,731,indicative
568,753,indicative
568,781,indicative
568,600,indicative
951,569,indicative
938,569,indicative
688,569,indicative
940,570,indicative
941,570,indicative
570,746,indicative
571,768,indicative
855,571,indicative
571,742,indicative
572,767,indicative
572,583,indicative
572,612,indicative
940,573,indicative
941,573,indicative
573,603,indicative
574,611,indicative
574,590,indicative
574,754,indicative
575,746,indicative
575,758,indicative
575,611,indicative
576,593,indicative
576,884,indicative
576,762,indicative
577,881,indicative
792,577,indicative
687,577,indicative
578,765,indicative
578,771,indicative
858,578,indicative
579,650,indicative
579,884,indicative
940,579,indicative
580,954,indicative
580,820,indicative
580,762,indicative
581,781,indicative
581,598,indicative
581,810,indicative
938,582,indicative
582,660,indicative
582,756,indicative
583,775,indicative
583,756,indicative
696,583,indicative
584,660,indicative
687,584,indicative
584,755,indicative
585,592,indicative
585,606,indicative
585,599,indicative
590,819,indicative
590,780,indicative
702,590,indicative
810,592,indicative
659,592,indicative
660,592,indicative
593,766,indicative
593,813,indicative
593,785,indicative
594,766,indicative
594,748,indicative
711,594,indicative
940,595,indicative
941,595,indicative
710,595,indicative
596,775,indicative
596,600,indicative
690,596,indicative
597,731,indicative
597,771,indicative
597,831,indicative
810,598,indicative
598,775,indicative
694,598,indicative
659,599,indicative
938,599,indicative
810,599,indicative
721,600,indicative
600,766,indicative
600,778,indicative
795,601,indicative
867,601,indicative
639,601,indicative
952,602,indicative
602,767,indicative
630,602,indicative
603,655,indicative
603,811,indicative
603,886,indicative
858,604,indicative
865,604,indicative
604,778,indicative
605,754,indicative
605,774,indicative
605,772,indicative
696,606,indicative
606,831,indicative
940,606,indicative
607,749,indicative
607,782,indicative
607,650,indicative
693,608,indicative
608,745,indicative
793,608,indicative
687,609,indicative
858,609,indicative
609,743,indicative
611,831,indicative
611,743,indicative
712,611,indicative
612,746,indicative
612,831,indicative
711,612,indicative
613,777,indicative
613,767,indicative
710,613,indicative
940,614,indicative
941,614,indicative
614,779,indicative
618,671,indicative
618,647,indicative
618,648,indicative
620,662,indicative
620,711,indicative
620,780,indicative
621,643,indicative
621,654,indicative
621,641,indicative
622,636,indicative
622,668,indicative
622,640,indicative
623,626,indicative
623,646,indicative
623,632,indicative
624,670,indicative
624,957,indicative
624,947,indicative
625,632,indicative
625,650,indicative
625,669,indicative
626,853,indicative
626,643,indicative
626,631,indicative
627,960,indicative
627,706,indicative
627,854,indicative
628,853,indicative
628,686,indicative
628,643,indicative
629,646,indicative
629,720,indicative
629,686,indicative
630,780,indicative
630,641,indicative
630,660,indicative
631,746,indicative
938,631,indicative
631,712,indicative
632,646,indicative
632,664,indicative
632,665,indicative
633,651,indicative
634,646,indicative
635,955,indicative
635,750,indicative
635,746,indicative
636,665,indicative
636,667,indicative
636,814,indicative
637,723,indicative
637,711,indicative
637,746,indicative
638,957,indicative
638,878,indicative
638,743,indicative
639,735,indicative
639,811,indicative
639,779,indicative
640,750,indicative
640,671,indicative
640,767,indicative
641,725,indicative
853,641,indicative
641,700,indicative
711,642,indicative
654,642,indicative
642,650,indicative
686,643,indicative
643,644,indicative
643,955,indicative
649,644,indicative
646,668,indicative
646,664,indicative
646,650,indicative
647,656,indicative
647,955,indicative
647,650,indicative
648,670,indicative
648,663,indicative
648,650,indicative
649,947,indicative
649,660,indicative
649,670,indicative
654,650,indicative
650,765,indicative
691,650,indicative
686,654,indicative
654,658,indicative
654,669,indicative
655,773,indicative
694,655,indicative
744,655,indicative
746,656,indicative
710,656,indicative
957,656,indicative
939,657,indicative
657,658,indicative
710,657,indicative
955,658,indicative
710,658,indicative
664,658,indicative
659,670,indicative
659,762,indicative
694,659,indicative
660,779,indicative
660,785,indicative
660,745,indicative
750,662,indicative
668,662,indicative
664,662,indicative
663,772,indicative
721,663,indicative
702,663,indicative
664,751,indicative
692,664,indicative
947,664,indicative
721,665,indicative
715,665,indicative
714,665,indicative
814,666,indicative
668,666,indicative
800,666,indicative
667,671,indicative
667,957,indicative
711,667,indicative
668,777,indicative
866,668,indicative
668,740,indicative
670,785,indicative
855,670,indicative
670,765,indicative
701,671,indicative
671,767,indicative
694,671,indicative
685,855,indicative
685,813,indicative
685,720,indicative
686,867,indicative
686,748,indicative
686,872,indicative
687,831,indicative
687,759,indicative
687,883,indicative
688,753,indicative
688,881,indicative
688,810,indicative
689,947,indicative
689,745,indicative
939,689,indicative
690,700,indicative
690,953,indicative
690,858,indicative
691,732,indicative
691,868,indicative
691,746,indicative
692,945,indicative
692,854,indicative
692,793,indicative
693,772,indicative
693,721,indicative
693,814,indicative
694,758,indicative
694,810,indicative
694,779,indicative
696,888,indicative
696,829,indicative
857,696,indicative
697,714,indicative
697,776,indicative
697,721,indicative
704,698,indicative
792,698,indicative
698,721,indicative
699,767,indicative
699,743,indicative
699,814,indicative
700,957,indicative
700,829,indicative
700,825,indicative
701,735,indicative
701,742,indicative
701,748,indicative
702,741,indicative
794,702,indicative
702,766,indicative
703,750,indicative
703,780,indicative
855,703,indicative
704,819,indicative
704,831,indicative
704,829,indicative
705,737,indicative
705,738,indicative
939,705,indicative
706,955,indicative
706,741,indicative
711,706,indicative
707,955,indicative
792,707,indicative
707,883,indicative
857,708,indicative
708,739,indicative
708,745,indicative
855,709,indicative
709,734,indicative
709,881,indicative
710,734,indicative
710,954,indicative
710,888,indicative
711,767,indicative
853,711,indicative
711,799,indicative
712,741,indicative
854,712,indicative
712,757,indicative
714,775,indicative
714,745,indicative
714,785,indicative
715,784,indicative
715,775,indicative
715,745,indicative
719,820,indicative
719,779,indicative
719,813,indicative
720,961,indicative
750,720,indicative
720,783,indicative
721,831,indicative
942,721,indicative
721,728,indicative
722,776,indicative
722,884,indicative
722,785,indicative
723,811,indicative
799,723,indicative
723,725,indicative
803,724,indicative
810,724,indicative
812,724,indicative
725,783,indicative
952,725,indicative
725,758,indicative
810,728,indicative
867,728,indicative
853,728,indicative
947,729,indicative
792,729,indicative
729,955,indicative
803,730,indicative
741,730,indicative
730,767,indicative
731,765,indicative
739,731,indicative
855,731,indicative
732,743,indicative
793,732,indicative
792,732,indicative
733,746,indicative
795,733,indicative
865,733,indicative
734,746,indicative
734,767,indicative
734,766,indicative
865,735,indicative
741,735,indicative
881,735,indicative
795,736,indicative
736,813,indicative
854,736,indicative
860,737,indicative
866,737,indicative
857,737,indicative
825,738,indicative
810,738,indicative
857,738,indicative
949,739,indicative
939,739,indicative
854,739,indicative
752,740,indicative
883,740,indicative
866,740,indicative
741,955,indicative
793,741,indicative
792,741,indicative
742,759,indicative
865,742,indicative
742,767,indicative
951,743,indicative
949,743,indicative
881,743,indicative
866,744,indicative
744,759,indicative
744,758,indicative
881,745,indicative
948,745,indicative
952,745,indicative
746,775,indicative
746,771,indicative
752,746,indicative
747,748,indicative
869,748,indicative
857,748,indicative
888,748,indicative
766,749,indicative
884,749,indicative
811,749,indicative
750,813,indicative
750,758,indicative
750,831,indicative
751,765,indicative
878,751,indicative
939,751,indicative
938,752,indicative
943,752,indicative
752,765,indicative
858,753,indicative
939,753,indicative
793,753,indicative
792,754,indicative
831,754,indicative
858,754,indicative
855,755,indicative
755,762,indicative
755,776,indicative
756,758,indicative
756,762,indicative
756,777,indicative
855,757,indicative
780,757,indicative
961,757,indicative
951,758,indicative
855,758,indicative
758,767,indicative
759,782,indicative
878,759,indicative
793,759,indicative
952,762,indicative
954,762,indicative
813,762,indicative
800,765,indicative
865,765,indicative
948,765,indicative
766,782,indicative
792,766,indicative
793,766,indicative
961,767,indicative
794,767,indicative
884,767,indicative
855,768,indicative
886,768,indicative
939,768,indicative
821,771,indicative
820,771,indicative
886,771,indicative
938,772,indicative
793,772,indicative
792,772,indicative
773,785,indicative
952,774,indicative
939,774,indicative
813,774,indicative
775,785,indicative
779,775,indicative
811,775,indicative
858,776,indicative
940,776,indicative
941,776,indicative
952,777,indicative
777,785,indicative
811,777,indicative
811,778,indicative
781,778,indicative
778,784,indicative
810,779,indicative
779,953,indicative
948,779,indicative
949,780,indicative
781,780,indicative
795,780,indicative
952,781,indicative
951,781,indicative
781,819,indicative
886,782,indicative
952,782,indicative
811,782,indicative
800,783,indicative
884,783,indicative
948,783,indicative
957,785,indicative
799,785,indicative
952,785,indicative
792,825,indicative
792,866,indicative
792,883,indicative
793,860,indicative
793,961,indicative
793,814,indicative
794,814,indicative
794,820,indicative
794,829,indicative
795,811,indicative
795,888,indicative
795,887,indicative
796,942,indicative
796,957,indicative
796,872,indicative
797,942,indicative
797,802,indicative
797,883,indicative
939,798,indicative
798,803,indicative
798,942,indicative
940,799,indicative
941,799,indicative
866,799,indicative
800,820,indicative
800,814,indicative
800,811,indicative
801,806,indicative
802,883,indicative
940,802,indicative
941,802,indicative
803,957,indicative
803,829,indicative
803,887,indicative
806,807,indicative
806,808,indicative
852,807,indicative
823,807,indicative
868,807,indicative
868,808,indicative
860,808,indicative
960,808,indicative
940,810,indicative
941,810,indicative
810,872,indicative
827,811,indicative
866,811,indicative
869,811,indicative
812,813,indicative
875,813,indicative
951,813,indicative
943,813,indicative
940,814,indicative
941,814,indicative
814,884,indicative
821,819,indicative
825,819,indicative
938,820,indicative
820,830,indicative
820,953,indicative
821,961,indicative
948,821,indicative
821,884,indicative
960,822,indicative
868,823,indicative
823,829,indicative
942,825,indicative
855,825,indicative
825,957,indicative
827,886,indicative
827,829,indicative
852,827,indicative
960,828,indicative
868,828,indicative
951,829,indicative
871,829,indicative
952,829,indicative
939,831,indicative
948,831,indicative
831,953,indicative
852,881,indicative
852,943,indicative
852,868,indicative
853,857,indicative
853,955,indicative
938,853,indicative
854,889,indicative
854,883,indicative
854,863,indicative
855,949,indicative
938,855,indicative
855,942,indicative
856,865,indicative
856,881,indicative
856,875,indicative
857,867,indicative
857,865,indicative
857,890,indicative
859,871,indicative
859,866,indicative
859,874,indicative
860,876,indicative
949,860,indicative
860,889,indicative
862,866,indicative
939,862,indicative
862,872,indicative
865,875,indicative
865,888,indicative
865,889,indicative
866,947,indicative
866,960,indicative
866,869,indicative
867,889,indicative
867,883,indicative
867,869,indicative
868,888,indicative
868,890,indicative
939,868,indicative
869,872,indicative
869,886,indicative
871,890,indicative
871,872,indicative
874,872,indicative
888,872,indicative
939,872,indicative
874,890,indicative
875,886,indicative
883,877,indicative
952,878,indicative
878,886,indicative
878,961,indicative
888,880,indicative
881,880,indicative
883,880,indicative
881,887,indicative
940,881,indicative
941,881,indicative
948,883,indicative
942,883,indicative
883,957,indicative
943,884,indicative
960,884,indicative
952,884,indicative
951,886,indicative
938,886,indicative
943,886,indicative
943,887,indicative
889,887,indicative
939,888,indicative
888,957,indicative
943,888,indicative
943,889,indicative
938,948,indicative
938,949,indicative
938,942,indicative
939,956,indicative
939,952,indicative
939,940,indicative
940,951,indicative
940,952,indicative
940,961,indicative
941,951,indicative
941,952,indicative
941,961,indicative
949,942,indicative
942,957,indicative
943,942,indicative
943,955,indicative
943,947,indicative
943,957,indicative
944,947,indicative
944,945,indicative
945,957,indicative
945,955,indicative
949,945,indicative
949,947,indicative
947,957,indicative
947,955,indicative
951,948,indicative
948,960,indicative
948,961,indicative
949,956,indicative
949,955,indicative
949,960,indicative
951,952,indicative
952,961,indicative
954,953,indicative
954,961,indicative
960,957,indicative
